,Unnamed: 0,draft_season,player_id,player_name,position,height,height_w_shoes,weight,wingspan,standing_reach,body_fat_pct,hand_length,hand_width,standing_vertical_leap,max_vertical_leap,lane_agility_time,modified_lane_agility_time,three_quarter_sprint,bench_press,spot_fifteen_corner_left,spot_fifteen_break_left,spot_fifteen_top_key,spot_fifteen_break_right,spot_fifteen_corner_right,spot_college_corner_left,spot_college_break_left,spot_college_top_key,spot_college_break_right,spot_college_corner_right,spot_nba_corner_left,spot_nba_break_left,spot_nba_top_key,spot_nba_break_right,spot_nba_corner_right,off_drib_fifteen_break_left,off_drib_fifteen_top_key,off_drib_fifteen_break_right,off_drib_college_break_left,off_drib_college_top_key,off_drib_college_break_right,on_move_fifteen,on_move_college,overall_pick,draft_type,organization,organization_type,player_profile_flag
46,46,2013,203523,BJ Young,SG-PG,74.25,75.5,178.8,80.25,99.0,4.7,8.5,9.5,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.6,0.4,0.4,0.8,0.6,0.8,0.4,0.2,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
47,47,2014,203919,Jordan Adams,SG,75.5,76.75,208.8,82.0,102.0,10.8,8.5,7.5,24.5,29.5,12.13,3.05,3.5,0,0.0,0.0,0.0,0.0,0.0,1.0,0.6,1.0,0.6,0.6,0.8,0.6,0.4,0.6,1.0,0.667,0.667,0.833,0.0,0.0,0.0,0.6,0.0,0.0,0,0,0,0.0
48,48,2014,203648,Thanasis Antetokounmpo,SF,77.25,78.25,205.2,84.0,104.5,6.05,9.0,9.75,31.5,39.5,11.39,3.05,3.18,0,0.0,0.0,0.0,0.0,0.0,0.8,0.4,0.4,0.8,0.4,0.4,0.8,0.6,0.6,0.6,0.667,0.833,0.5,0.0,0.0,0.0,0.0,0.4,0.0,0,0,0,0.0
49,49,2014,203947,Jordan Bachynski,PF,85.25,86.0,254.1,88.0,108.5,7.45,9.25,10.0,29.0,33.0,12.15,3.03,3.36,0,0.0,0.6,0.6,1.0,0.8,0.0,0.0,0.0,0.0,0.0,0.4,0.2,0.2,0.4,0.6,0.667,0.667,0.667,0.0,0.0,0.0,0.633,0.0,0.0,0,0,0,0.0
50,50,2014,203946,Cameron Bairstow,PF,80.75,81.75,252.4,84.75,107.0,8.7,8.75,9.0,31.0,33.5,11.39,3.09,3.37,0,1.0,0.8,0.8,0.6,0.8,0.0,0.0,0.0,0.0,0.0,0.6,0.8,0.6,0.8,0.2,0.833,0.333,1.0,0.0,0.0,0.0,0.568,0.0,0.0,0,0,0,0.0
51,51,2014,203920,Khem Birch,PF,79.5,81.25,208.8,85.0,107.0,6.0,9.0,8.5,30.5,35.5,11.6,3.24,3.26,0,0.6,0.4,0.4,0.8,0.4,0.0,0.0,0.0,0.0,0.0,0.8,0.4,0.4,0.4,0.2,0.667,0.5,0.167,0.0,0.0,0.0,0.5,0.0,0.0,0,0,0,0.0
52,52,2014,203938,Alec Brown,PF,84.25,85.25,231.2,85.5,109.0,7.7,9.25,8.75,27.0,30.0,12.05,2.91,3.48,0,0.6,0.8,1.0,0.8,1.0,0.0,0.0,0.0,0.0,0.0,0.8,0.4,0.6,1.0,0.8,0.5,0.5,0.833,0.0,0.0,0.0,0.611,0.0,0.0,0,0,0,0.0
53,53,2014,203900,Markel Brown,SG,74.5,75.5,184.4,80.75,100.0,4.2,8.25,9.75,36.5,43.5,12.62,2.9,3.18,0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.6,0.4,0.4,0.6,0.6,0.2,0.4,0.6,0.833,0.833,0.5,0.0,0.0,0.0,0.562,0.0,0.0,0,0,0,0.0
54,54,2014,203913,Jabari Brown,SG,75.0,76.25,201.9,80.25,100.0,6.05,9.0,9.25,28.0,32.0,11.6,3.26,3.5,0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.6,0.8,0.6,0.6,0.8,0.4,0.6,0.8,0.5,0.833,0.667,0.0,0.0,0.0,0.583,0.0,0.0,0,0,0,0.0
55,55,2014,203907,Deonte Burton,PG,72.0,73.25,192.8,79.0,97.5,7.65,8.25,8.0,29.0,39.5,11.28,3.08,3.28,0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.4,0.8,0.6,0.2,0.0,0.4,0.4,0.4,0.5,0.333,0.5,0.0,0.0,0.0,0.576,0.0,0.0,0,0,0,0.0
56,56,2014,203902,Semaj Christon,PG,73.5,75.25,186.0,78.5,99.0,5.25,8.5,8.25,30.5,36.5,11.55,3.21,3.32,0,0.0,0.0,0.0,0.0,0.0,0.6,0.8,1.0,1.0,0.8,0.6,0.4,0.4,0.4,0.0,0.667,0.667,0.5,0.0,0.0,0.0,0.692,0.0,0.0,0,0,0,0.0
57,57,2014,203903,Jordan Clarkson,PG,75.25,77.0,186.3,80.0,98.0,4.3,8.25,9.0,33.0,38.5,10.76,2.98,3.28,0,0.0,0.0,0.0,0.0,0.0,0.6,1.0,1.0,0.8,1.0,0.6,0.6,0.6,0.4,0.4,0.833,0.833,0.5,0.0,0.0,0.0,0.667,0.0,0.0,0,0,0,0.0
58,58,2014,203905,Aaron Craft,PG,72.75,73.75,191.6,74.0,94.5,6.1,7.75,8.5,29.0,32.0,10.78,2.9,3.26,0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.8,0.8,0.6,0.2,0.0,0.6,0.4,0.6,0.5,0.833,0.167,0.0,0.0,0.0,0.647,0.0,0.0,0,0,0,0.0
59,59,2014,203908,DeAndre Daniels,SF,79.25,80.5,196.0,86.0,106.5,3.85,9.25,10.5,26.5,32.0,11.46,3.04,3.44,0,0.0,0.0,0.0,0.0,0.0,0.2,0.6,0.6,0.2,0.8,0.4,0.8,0.6,0.6,0.6,0.833,0.667,0.5,0.0,0.0,0.0,0.676,0.0,0.0,0,0,0,0.0
60,60,2014,203921,Cleanthony Early,SF,78.0,79.25,209.4,82.75,101.5,4.45,8.5,9.0,34.0,40.0,11.15,2.96,3.18,0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.6,1.0,0.4,0.4,0.4,0.8,0.4,0.0,0.5,0.5,0.667,0.0,0.0,0.0,0.486,0.0,0.0,0,0,0,0.0
61,61,2014,203929,Melvin Ejim,SF,77.25,79.0,218.5,83.25,103.5,6.45,8.75,9.25,29.5,35.0,11.55,3.12,3.14,0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.6,0.2,0.4,0.8,0.8,0.6,0.8,0.6,0.5,0.833,0.667,0.0,0.0,0.0,0.667,0.0,0.0,0,0,0,0.0
62,62,2014,203927,C.J. Fair,SF,78.5,80.0,218.1,81.5,104.0,5.05,9.0,9.0,27.0,35.0,11.0,3.06,3.32,0,0.0,0.0,0.0,0.0,0.0,0.8,0.2,0.4,0.2,0.6,0.4,0.4,0.8,0.2,0.6,0.5,0.5,0.667,0.0,0.0,0.0,0.75,0.0,0.0,0,0,0,0.0
63,63,2014,203924,Jerami Grant,SF,78.5,79.75,214.0,86.75,107.0,3.75,9.25,9.25,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.4,0.6,0.4,0.6,0.4,0.4,0.6,0.667,0.333,0.5,0.0,0.0,0.0,0.545,0.0,0.0,0,0,0,0.0
